Claim_ID,Claim_Date,Policyholder_ID,Claim_Amount,Claim_Type,Suspicious_Flags,Fraud_Label
C00001,13-04-2023,P00001,10711.01,Vehicle,FALSE,0
C00002,15-12-2023,P00002,11528.26,Vehicle,TRUE,1
C00003,28-09-2023,P00003,14106.24,Vehicle,FALSE,0
C00004,17-04-2023,P00004,13242.61,Vehicle,FALSE,0
C00005,13-03-2023,P00005,9133.98,Medical,FALSE,0
C00006,08-07-2023,P00006,15375.98,Vehicle,FALSE,0
C00007,21-01-2023,P00007,7190.63,Vehicle,TRUE,1
C00008,13-04-2023,P00008,14651.56,Vehicle,FALSE,0
C00009,02-05-2023,P00009,7217.05,Medical,FALSE,0
C00010,03-08-2023,P00010,12382.64,Vehicle,FALSE,0
C00011,27-11-2023,P00011,9870.79,Vehicle,FALSE,0
C00012,29-03-2023,P00012,8581.02,Medical,FALSE,0
C00013,10-04-2023,P00013,21275.28,Home Damage,FALSE,0
C00014,26-12-2023,P00014,11518.07,Vehicle,FALSE,1
C00015,01-06-2023,P00015,8486.61,Vehicle,TRUE,1
C00016,11-05-2023,P00016,10108.15,Vehicle,FALSE,0
C00017,30-05-2023,P00017,16096.79,Vehicle,FALSE,0
C00018,05-11-2023,P00018,9006.56,Vehicle,FALSE,0
C00019,15-09-2023,P00019,13066.08,Vehicle,FALSE,0
C00020,10-12-2023,P00020,14685.96,Vehicle,FALSE,0
C00021,21-10-2023,P00021,15105.99,Vehicle,FALSE,0
C00022,11-07-2023,P00022,7876.2,Medical,TRUE,1
C00023,04-10-2023,P00023,9913.38,Medical,TRUE,0
C00024,10-06-2023,P00024,6148.94,Medical,FALSE,0
C00025,10-11-2023,P00025,6067.68,Vehicle,FALSE,0
C00026,22-01-2023,P00026,17544.14,Vehicle,FALSE,0
C00027,10-09-2023,P00027,22451.93,Home Damage,FALSE,0
C00028,24-08-2023,P00028,8900.91,Vehicle,FALSE,0
C00029,11-12-2023,P00029,13768.82,Vehicle,TRUE,1
C00030,18-02-2023,P00030,11065.88,Vehicle,FALSE,0
C00031,28-02-2023,P00031,27572.73,Home Damage,FALSE,0
C00032,19-06-2023,P00032,14456.89,Vehicle,FALSE,0
C00033,07-07-2023,P00033,9982.39,Vehicle,TRUE,0
C00034,28-09-2023,P00034,14322.31,Vehicle,FALSE,0
C00035,09-07-2023,P00035,9070.72,Vehicle,FALSE,0
C00036,24-06-2023,P00036,4341.95,Medical,FALSE,0
C00037,20-02-2023,P00037,8159.02,Vehicle,FALSE,0
C00038,30-12-2023,P00038,10419.86,Vehicle,FALSE,0
C00039,24-02-2023,P00039,9881.06,Medical,FALSE,0
C00040,01-09-2023,P00040,22836.3,Home Damage,TRUE,1
C00041,16-11-2023,P00041,16825.37,Vehicle,FALSE,0
C00042,11-05-2023,P00042,9699.78,Vehicle,FALSE,0
C00043,03-11-2023,P00043,11332.17,Vehicle,FALSE,0
C00044,15-05-2023,P00044,11306.08,Vehicle,TRUE,1
C00045,21-01-2023,P00045,11867.76,Vehicle,FALSE,0
C00046,25-11-2023,P00046,23266.19,Home Damage,TRUE,1
C00047,16-06-2023,P00047,19976.81,Home Damage,FALSE,0
C00048,01-10-2023,P00048,12849.24,Vehicle,TRUE,1
C00049,30-03-2023,P00049,7556.4,Vehicle,FALSE,0
C00050,12-11-2023,P00050,14142.87,Vehicle,FALSE,0
C00051,14-01-2023,P00051,13412.65,Vehicle,FALSE,0
C00052,30-08-2023,P00052,10073.3,Medical,FALSE,0
C00053,22-09-2023,P00053,11587.52,Vehicle,FALSE,0
C00054,12-12-2023,P00054,6181.72,Medical,FALSE,0
C00055,22-02-2023,P00055,9655.22,Vehicle,TRUE,1
C00056,06-12-2023,P00056,7707.89,Medical,FALSE,0
C00057,02-04-2023,P00057,9807.05,Vehicle,TRUE,1
C00058,21-09-2023,P00058,21424.29,Home Damage,FALSE,0
C00059,04-02-2023,P00059,14610.49,Vehicle,TRUE,1
C00060,25-07-2023,P00060,27180.9,Home Damage,FALSE,0
C00061,22-03-2023,P00061,21676.47,Home Damage,FALSE,0
C00062,19-02-2023,P00062,11018.08,Vehicle,FALSE,0
C00063,26-12-2023,P00063,6168.13,Medical,FALSE,0
C00064,02-01-2023,P00064,12942.26,Vehicle,TRUE,1
C00065,23-02-2023,P00065,13296.95,Vehicle,FALSE,0
C00066,16-04-2023,P00066,10744.86,Vehicle,FALSE,0
C00067,17-09-2023,P00067,15534.79,Vehicle,FALSE,0
C00068,06-11-2023,P00068,9603.98,Vehicle,FALSE,0
C00069,10-07-2023,P00069,9997.82,Vehicle,FALSE,0
C00070,06-08-2023,P00070,12401.68,Vehicle,FALSE,0
C00071,13-02-2023,P00071,3978.61,Medical,FALSE,0
C00072,11-06-2023,P00072,13002.11,Vehicle,FALSE,0
C00073,21-07-2023,P00073,11660.25,Vehicle,FALSE,0
C00074,27-09-2023,P00074,14838.17,Vehicle,FALSE,0
C00075,17-12-2023,P00075,11634.82,Vehicle,FALSE,0
C00076,31-10-2023,P00076,16754.07,Home Damage,FALSE,0
C00077,28-09-2023,P00077,17577.6,Vehicle,FALSE,0
C00078,03-08-2023,P00078,15132.58,Vehicle,FALSE,0
C00079,09-09-2023,P00079,13530.67,Home Damage,FALSE,0
C00080,09-07-2023,P00080,10238.2,Vehicle,FALSE,0
C00081,23-10-2023,P00081,10716.79,Vehicle,FALSE,0
C00082,01-08-2023,P00082,14789.15,Vehicle,FALSE,0
C00083,27-07-2023,P00083,13463.3,Vehicle,TRUE,0
C00084,25-08-2023,P00084,21460.85,Home Damage,TRUE,0
C00085,04-12-2023,P00085,27306.65,Home Damage,FALSE,0
C00086,22-02-2023,P00086,12142.53,Vehicle,FALSE,0
C00087,07-10-2023,P00087,9611.87,Medical,FALSE,0
C00088,05-08-2023,P00088,21734.54,Home Damage,FALSE,0
C00089,09-09-2023,P00089,11042.3,Home Damage,FALSE,0
C00090,07-07-2023,P00090,6102.34,Medical,FALSE,1
C00091,10-02-2023,P00091,21542.63,Home Damage,TRUE,0
C00092,06-06-2023,P00092,9913.8,Vehicle,FALSE,0
C00093,15-01-2023,P00093,7554.38,Medical,FALSE,0
C00094,28-10-2023,P00094,16053.75,Home Damage,FALSE,0
C00095,06-03-2023,P00095,7237.82,Medical,TRUE,1
C00096,11-12-2023,P00096,8667.37,Medical,FALSE,0
C00097,23-11-2023,P00097,26778.74,Home Damage,FALSE,0
C00098,09-01-2023,P00098,15892.07,Vehicle,FALSE,0
C00099,10-12-2023,P00099,9590.21,Vehicle,FALSE,0
C00100,09-05-2023,P00100,28760.97,Home Damage,FALSE,0
C00101,16-05-2023,P00101,13585.57,Home Damage,FALSE,0
C00102,04-03-2023,P00102,8680.3,Medical,FALSE,0
C00103,19-05-2023,P00103,12860.13,Vehicle,FALSE,0
C00104,22-03-2023,P00104,4778.67,Medical,FALSE,0
C00105,12-06-2023,P00105,11251.36,Medical,FALSE,0
C00106,16-10-2023,P00106,23066.04,Home Damage,FALSE,0
C00107,18-09-2023,P00107,14318.26,Vehicle,FALSE,0
C00108,19-08-2023,P00108,8317.31,Medical,FALSE,0
C00109,10-02-2023,P00109,9645.19,Vehicle,FALSE,0
C00110,28-01-2023,P00110,9071.71,Medical,FALSE,0
C00111,15-05-2023,P00111,15018.43,Home Damage,TRUE,1
C00112,20-07-2023,P00112,10968.16,Vehicle,FALSE,0
C00113,24-11-2023,P00113,15832.61,Vehicle,FALSE,0
C00114,25-09-2023,P00114,9068.09,Vehicle,FALSE,0
C00115,02-02-2023,P00115,19949.82,Home Damage,FALSE,0
C00116,17-02-2023,P00116,14322.17,Home Damage,FALSE,0
C00117,03-03-2023,P00117,19313.18,Home Damage,FALSE,0
C00118,04-08-2023,P00118,11764.21,Vehicle,FALSE,0
C00119,20-10-2023,P00119,9634.37,Home Damage,FALSE,0
C00120,09-04-2023,P00120,18963.3,Vehicle,FALSE,0
C00121,21-06-2023,P00121,11026.55,Vehicle,FALSE,0
C00122,26-12-2023,P00122,8653,Vehicle,FALSE,1
C00123,02-08-2023,P00123,11056.83,Vehicle,FALSE,0
C00124,04-02-2023,P00124,8036.77,Vehicle,FALSE,0
C00125,15-08-2023,P00125,9972.42,Medical,FALSE,0
C00126,11-04-2023,P00126,7913.92,Medical,FALSE,1
C00127,11-05-2023,P00127,24335.2,Home Damage,FALSE,0
C00128,14-09-2023,P00128,14310.11,Vehicle,TRUE,1
C00129,05-01-2023,P00129,25069.61,Home Damage,FALSE,0
C00130,06-08-2023,P00130,15038.86,Vehicle,FALSE,0
C00131,12-09-2023,P00131,5639.57,Medical,FALSE,0
C00132,25-12-2023,P00132,11940.42,Vehicle,FALSE,0
C00133,10-10-2023,P00133,7176.15,Vehicle,FALSE,0
