Policy_ID,Customer_Age,Gender,Policy_Type,Annual_Income,Property_Age,Claim_History,Risk_Score,Premium_Amount,Claim_Amount,fraudulent_claim
POL100000,56,Female,Health,91465.94,8,2,Medium,426,14134.62,0
POL100001,69,Female,Property,99375.03,3,1,Low,552,4075.14,0
POL100002,46,Male,Health,79249.71,7,1,Low,356,1382.87,0
POL100003,32,Male,Auto,78744.75,15,1,High,628,24902.32,0
POL100004,60,Male,Life,51210.11,19,2,High,584,29411.28,1
POL100005,25,Male,Health,34166.18,10,2,Medium,364,13413.01,0
POL100006,38,Female,Property,60743.79,19,2,High,590,31746.74,1
POL100007,56,Female,Health,53027.16,0,1,Low,376,4010.46,0
POL100008,36,Female,Life,61477.54,14,2,Medium,486,10818.29,0
POL100009,40,Male,Auto,68029.58,12,3,High,644,31887.73,0
POL100010,28,Female,Health,46478.67,15,0,High,420,33889.88,0
POL100011,28,Female,Auto,45234.74,5,2,Medium,570,14858.3,0
POL100012,41,Male,Auto,87568.37,11,4,High,646,33685.5,1
POL100013,53,Female,Health,35835.03,0,5,High,470,29704.82,0
POL100014,57,Female,Property,62771.36,19,2,High,628,28999.41,0
POL100015,41,Male,Health,31655.21,6,0,Low,346,8405.12,0
POL100016,20,Male,Auto,59717.7,19,0,High,604,29507.18,0
POL100017,39,Female,Auto,34989.31,13,0,High,642,30491.9,0
POL100018,19,Male,Property,57980.7,10,2,Medium,502,16813.43,0
POL100019,41,Female,Auto,82394.87,12,4,High,646,36959.11,1
POL100020,61,Male,Auto,57637.27,1,1,Low,586,7587.72,0
POL100021,47,Male,Property,85576.12,7,1,Low,508,2227.47,0
POL100022,55,Male,Health,81205.13,2,0,Low,374,6280.64,0
POL100023,19,Male,Auto,47081.58,7,3,High,602,29568.56,1
POL100024,38,Female,Property,65176.61,13,0,High,590,27377.41,0
POL100025,50,Female,Health,61569.63,7,0,Low,364,2451.96,1
POL100026,29,Female,Property,74831.27,6,3,High,572,32758.26,0
POL100027,39,Male,Health,64110.31,7,1,Low,342,5887.04,0
POL100028,61,Male,Property,61540.02,17,0,High,636,36193.17,1
POL100029,42,Female,Property,52111.99,14,1,High,598,27825.06,0
POL100030,66,Female,Health,59571.8,8,0,Low,396,4989.31,0
POL100031,44,Female,Health,57329.92,12,1,High,452,36299,0
POL100032,59,Male,Auto,70573.73,7,2,Medium,632,11552.3,0
POL100033,45,Male,Auto,57448.13,6,1,Low,554,7575.38,1
POL100034,33,Female,Life,70033.37,19,0,High,530,28541.16,1
POL100035,32,Male,Health,24612.78,16,0,High,428,33365.63,1
POL100036,64,Male,Health,93213.48,7,4,High,492,28123.28,1
POL100037,68,Male,Health,91962.06,19,3,High,500,24979.49,1
POL100038,61,Female,Life,63607.31,8,2,Medium,536,13213.51,1
POL100039,69,Female,Auto,47812.51,12,1,High,702,32490.25,0
POL100040,20,Male,Life,121406.02,12,4,High,504,24312.02,0
POL100041,54,Female,Auto,38326.78,11,0,High,672,31119.25,0
POL100042,68,Female,Life,46113.28,8,0,Low,500,9054.64,0
POL100043,24,Male,Health,45318.56,16,2,High,412,28925.53,0
POL100044,38,Male,Health,45075.99,11,0,High,440,31891.82,0
POL100045,26,Female,Life,36142.21,19,1,High,516,31886.13,0
POL100046,56,Male,Property,86141.24,18,1,High,626,28672.56,0
POL100047,35,Female,Health,76430.25,16,1,High,434,32422.58,0
POL100048,21,Male,Auto,61183.31,12,3,High,606,24711.7,0
POL100049,42,Male,Life,56850.48,15,4,High,548,34623.99,0
POL100050,31,Male,Health,80776.06,7,1,Low,326,7367.88,0
POL100051,67,Female,Auto,93092.02,19,0,High,698,27043.46,0
POL100052,26,Male,Health,78627.02,19,2,High,416,23807.14,1
POL100053,43,Female,Auto,78629.52,5,0,Low,550,7650.02,0
POL100054,19,Male,Health,83099.78,2,3,High,402,33044.61,0
POL100055,37,Female,Auto,32734.56,3,2,Medium,588,20794.15,0
POL100056,45,Male,Life,41039.7,13,1,High,554,25636.26,1
POL100057,64,Female,Auto,59774.44,10,2,Medium,642,17149.8,0
POL100058,24,Female,Health,57200.43,11,0,High,412,31435.59,0
POL100059,61,Male,Health,64628.8,0,0,Low,386,5195.28,0
POL100060,25,Male,Property,63948.74,17,1,High,564,32198.4,0
POL100061,64,Male,Life,69552.76,7,2,Medium,542,12312.85,1
POL100062,52,Female,Property,88218.67,15,2,Medium,568,15207.4,0
POL100063,31,Female,Health,60452.63,17,2,High,426,26455.63,0
POL100064,34,Male,Property,39634.33,17,1,High,582,23794.15,0
POL100065,53,Male,Property,56443.32,13,2,Medium,570,12635.24,0
POL100066,67,Male,Health,81899.08,16,1,High,498,28356.11,1
POL100067,57,Male,Health,57613.62,2,0,Low,378,3464.49,0
POL100068,21,Male,Auto,74843.31,19,2,High,606,32412.01,0
POL100069,19,Male,Health,45416.67,1,0,Low,302,4374.96,0
POL100070,23,Male,Health,49078.97,5,0,Low,310,7076.76,1
POL100071,59,Female,Life,29584.39,14,2,Medium,532,14355.25,0
POL100072,21,Male,Property,63085.5,12,1,High,556,26912.52,1
POL100073,46,Male,Life,77493.38,3,1,Low,456,7061.94,0
POL100074,35,Male,Auto,63494.56,9,1,Low,534,6047.27,0
POL100075,43,Female,Auto,32496.89,15,0,High,650,33587.58,1
POL100076,61,Female,Auto,27192.05,11,0,High,686,26708.41,1
POL100077,51,Male,Health,51681.41,3,1,Low,366,0,0
POL100078,27,Female,Health,83003.92,15,1,High,418,31725.03,0
POL100079,53,Female,Health,81317.28,15,0,High,470,27979.7,1
POL100080,31,Female,Auto,47777.03,1,0,Low,526,4032.45,0
POL100081,48,Female,Health,57290.93,17,1,High,460,31895.64,0
POL100082,65,Male,Property,62628.8,15,5,High,644,31294.99,1
POL100083,32,Male,Auto,89209.42,0,1,Low,528,6417.81,0
POL100084,25,Female,Auto,79611.53,13,1,High,614,30406.18,0
POL100085,31,Female,Health,42975.29,14,3,High,426,33934.58,1
POL100086,40,Male,Property,58526.41,16,2,High,594,26487.16,1
POL100087,57,Male,Auto,15000,10,3,High,678,31836.61,1
POL100088,38,Male,Health,39448.74,2,3,High,440,31057.61,1
POL100089,33,Male,Property,48918.39,7,0,Low,480,2065.03,0
POL100090,62,Male,Health,63967.71,12,3,High,488,31565,0
POL100091,35,Male,Property,69823.95,9,2,Medium,534,18077.07,0
POL100092,64,Female,Auto,83048.96,3,1,Low,592,5756.37,0
POL100093,41,Female,Life,56873.13,19,0,High,546,29771.87,0
POL100094,43,Female,Auto,87009.81,14,0,High,650,31220.19,1
POL100095,42,Male,Life,67810.93,10,2,Medium,498,19883.19,0
POL100096,62,Female,Auto,43745.95,14,0,High,688,28161.15,1
POL100097,58,Male,Property,41301.46,3,2,Medium,580,10445.64,1
POL100098,46,Male,Auto,41449.06,5,0,Low,556,7984.91,0
POL100099,32,Female,Property,61427.14,6,1,Low,478,5025.28,0
POL100100,62,Female,Property,56156.17,11,1,High,638,26899.61,0
POL100101,18,Male,Auto,43602.36,8,1,Low,500,5916.56,0
POL100102,42,Female,Auto,75013.23,10,1,High,648,32481.72,0
